id_situation,id_dpt,id_region,,,,,,,,,67
1,1,3,,,,,,,,,67
2,2,12,,,,,,,,,67
3,3,3,,,,,,,,,67
4,4,4,,,,,,,,,67
5,5,4,,,,,,,,,67
6,6,4,,,,,,,,,67
7,7,3,,,,,,,,,67
8,8,1,,,,,,,,,67
9,9,5,,,,,,,,,67
10,10,1,,,,,,,,,67
11,11,5,,,,,,,,,67
12,12,5,,,,,,,,,67
13,13,4,,,,,,,,,67
14,14,11,,,,,,,,,67
15,15,3,,,,,,,,,67
16,16,6,,,,,,,,,67
17,17,6,,,,,,,,,67
18,18,8,,,,,,,,,67
19,19,6,,,,,,,,,67
20,20,17,,,,,,,,,67
21,21,17,,,,,,,,,67
22,22,2,,,,,,,,,67
23,23,10,,,,,,,,,67
24,24,6,,,,,,,,,68
25,25,6,,,,,,,,,68
26,26,2,,,,,,,,,68
27,27,3,,,,,,,,,68
28,28,11,,,,,,,,,68
29,29,8,,,,,,,,,68
30,30,10,,,,,,,,,68
31,31,5,,,,,,,,,68
32,32,5,,,,,,,,,68
33,33,5,,,,,,,,,68
34,34,6,,,,,,,,,68
35,35,5,,,,,,,,,68
36,36,10,,,,,,,,,68
37,37,8,,,,,,,,,68
38,38,8,,,,,,,,,68
39,39,3,,,,,,,,,68
40,40,2,,,,,,,,,68
41,41,6,,,,,,,,,68
42,42,8,,,,,,,,,68
43,43,3,,,,,,,,,68
44,44,3,,,,,,,,,68
45,45,7,,,,,,,,,68
46,46,8,,,,,,,,,68
47,47,5,,,,,,,,,68
48,48,6,,,,,,,,,24
49,49,5,,,,,,,,,24
50,50,7,,,,,,,,,24
51,51,11,,,,,,,,,24
52,52,1,,,,,,,,,24
53,53,1,,,,,,,,,24
54,54,7,,,,,,,,,24
55,55,1,,,,,,,,,24
56,56,1,,,,,,,,,24
57,57,10,,,,,,,,,24
58,58,1,,,,,,,,,24
59,59,2,,,,,,,,,24
60,60,12,,,,,,,,,24
61,61,12,,,,,,,,,24
62,62,11,,,,,,,,,24
63,63,12,,,,,,,,,34
64,64,3,,,,,,,,,34
65,65,6,,,,,,,,,34
66,66,5,,,,,,,,,34
67,67,5,,,,,,,,,34
68,68,1,,,,,,,,,34
69,69,1,,,,,,,,,34
70,70,3,,,,,,,,,34
71,71,2,,,,,,,,,34
72,72,2,,,,,,,,,34
73,73,7,,,,,,,,,34
74,74,3,,,,,,,,,34
75,75,3,,,,,,,,,34
76,76,9,,,,,,,,,34
77,77,11,,,,,,,,,34
78,78,9,,,,,,,,,40
79,79,9,,,,,,,,,40
80,80,6,,,,,,,,,40
81,81,12,,,,,,,,,40
82,82,5,,,,,,,,,40
83,83,5,,,,,,,,,40
84,84,4,,,,,,,,,40
85,85,4,,,,,,,,,40
86,86,7,,,,,,,,,40
87,87,6,,,,,,,,,40
88,88,6,,,,,,,,,47
89,89,1,,,,,,,,,47
90,90,2,,,,,,,,,47
91,91,2,,,,,,,,,47
92,92,9,,,,,,,,,47
93,93,9,,,,,,,,,47
94,94,9,,,,,,,,,64
95,95,9,,,,,,,,,64
96,96,9,,,,,,,,,64
97,97,13,,,,,,,,,64
98,98,18,,,,,,,,,64
99,99,14,,,,,,,,,64
100,100,15,,,,,,,,,64
101,101,16,,,,,,,,,64
,,,,,,,,,,,64
,,,,,,,,,,,64
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,3
,,,,,,,,,,,15
,,,,,,,,,,,15
,,,,,,,,,,,15
,,,,,,,,,,,15
,,,,,,,,,,,15
,,,,,,,,,,,43
,,,,,,,,,,,43
,,,,,,,,,,,43
,,,,,,,,,,,43
,,,,,,,,,,,43
,,,,,,,,,,,63
,,,,,,,,,,,63
,,,,,,,,,,,63
,,,,,,,,,,,63
,,,,,,,,,,,63
,,,,,,,,,,,63
,,,,,,,,,,,63
,,,,,,,,,,,63
,,,,,,,,,,,63
,,,,,,,,,,,63
,,,,,,,,,,,63
,,,,,,,,,,,63
,,,,,,,,,,,63
,,,,,,,,,,,21
,,,,,,,,,,,21
,,,,,,,,,,,21
,,,,,,,,,,,21
,,,,,,,,,,,21
,,,,,,,,,,,21
,,,,,,,,,,,21
,,,,,,,,,,,21
,,,,,,,,,,,21
,,,,,,,,,,,21
,,,,,,,,,,,21
,,,,,,,,,,,21
,,,,,,,,,,,21
,,,,,,,,,,,21
,,,,,,,,,,,21
,,,,,,,,,,,21
,,,,,,,,,,,21
,,,,,,,,,,,21
,,,,,,,,,,,21
,,,,,,,,,,,21
,,,,,,,,,,,21
,,,,,,,,,,,58
,,,,,,,,,,,58
,,,,,,,,,,,58
,,,,,,,,,,,58
,,,,,,,,,,,58
,,,,,,,,,,,58
,,,,,,,,,,,58
,,,,,,,,,,,58
,,,,,,,,,,,58
,,,,,,,,,,,58
,,,,,,,,,,,58
,,,,,,,,,,,71
,,,,,,,,,,,71
,,,,,,,,,,,71
,,,,,,,,,,,71
,,,,,,,,,,,71
,,,,,,,,,,,71
,,,,,,,,,,,71
,,,,,,,,,,,71
,,,,,,,,,,,71
,,,,,,,,,,,71
,,,,,,,,,,,71
,,,,,,,,,,,71
,,,,,,,,,,,71
,,,,,,,,,,,71
,,,,,,,,,,,71
,,,,,,,,,,,71
,,,,,,,,,,,71
,,,,,,,,,,,71
,,,,,,,,,,,71
,,,,,,,,,,,71
,,,,,,,,,,,71
,,,,,,,,,,,71
,,,,,,,,,,,71
,,,,,,,,,,,71
,,,,,,,,,,,71
,,,,,,,,,,,89
,,,,,,,,,,,89
,,,,,,,,,,,89
,,,,,,,,,,,89
,,,,,,,,,,,89
,,,,,,,,,,,89
,,,,,,,,,,,89
,,,,,,,,,,,89
,,,,,,,,,,,89
,,,,,,,,,,,89
,,,,,,,,,,,89
,,,,,,,,,,,89
,,,,,,,,,,,22
,,,,,,,,,,,22
,,,,,,,,,,,22
,,,,,,,,,,,29
,,,,,,,,,,,29
,,,,,,,,,,,29
,,,,,,,,,,,29
,,,,,,,,,,,29
,,,,,,,,,,,29
,,,,,,,,,,,29
,,,,,,,,,,,29
,,,,,,,,,,,29
,,,,,,,,,,,29
,,,,,,,,,,,29
,,,,,,,,,,,29
,,,,,,,,,,,29
,,,,,,,,,,,29
,,,,,,,,,,,35
,,,,,,,,,,,35
,,,,,,,,,,,35
,,,,,,,,,,,35
,,,,,,,,,,,35
,,,,,,,,,,,35
,,,,,,,,,,,35
,,,,,,,,,,,35
,,,,,,,,,,,35
,,,,,,,,,,,35
,,,,,,,,,,,56
,,,,,,,,,,,56
,,,,,,,,,,,56
,,,,,,,,,,,56
,,,,,,,,,,,56
,,,,,,,,,,,56
,,,,,,,,,,,56
,,,,,,,,,,,56
,,,,,,,,,,,56
,,,,,,,,,,,56
,,,,,,,,,,,56
,,,,,,,,,,,18
,,,,,,,,,,,18
,,,,,,,,,,,18
,,,,,,,,,,,18
,,,,,,,,,,,18
,,,,,,,,,,,18
,,,,,,,,,,,18
,,,,,,,,,,,18
,,,,,,,,,,,18
,,,,,,,,,,,28
,,,,,,,,,,,28
,,,,,,,,,,,28
,,,,,,,,,,,28
,,,,,,,,,,,28
,,,,,,,,,,,28
,,,,,,,,,,,28
,,,,,,,,,,,28
,,,,,,,,,,,28
,,,,,,,,,,,36
,,,,,,,,,,,36
,,,,,,,,,,,36
,,,,,,,,,,,36
,,,,,,,,,,,36
,,,,,,,,,,,36
,,,,,,,,,,,36
,,,,,,,,,,,36
,,,,,,,,,,,37
,,,,,,,,,,,37
,,,,,,,,,,,37
,,,,,,,,,,,37
,,,,,,,,,,,37
,,,,,,,,,,,37
,,,,,,,,,,,37
,,,,,,,,,,,37
,,,,,,,,,,,37
,,,,,,,,,,,37
,,,,,,,,,,,37
,,,,,,,,,,,37
,,,,,,,,,,,37
,,,,,,,,,,,37
,,,,,,,,,,,37
,,,,,,,,,,,37
,,,,,,,,,,,37
,,,,,,,,,,,37
,,,,,,,,,,,37
,,,,,,,,,,,41
,,,,,,,,,,,41
,,,,,,,,,,,41
,,,,,,,,,,,41
,,,,,,,,,,,41
,,,,,,,,,,,41
,,,,,,,,,,,41
,,,,,,,,,,,41
,,,,,,,,,,,45
,,,,,,,,,,,45
,,,,,,,,,,,45
,,,,,,,,,,,45
,,,,,,,,,,,45
,,,,,,,,,,,45
,,,,,,,,,,,45
,,,,,,,,,,,45
,,,,,,,,,,,45
,,,,,,,,,,,45
,,,,,,,,,,,45
,,,,,,,,,,,45
,,,,,,,,,,,8
,,,,,,,,,,,8
,,,,,,,,,,,8
,,,,,,,,,,,8
,,,,,,,,,,,8
,,,,,,,,,,,8
,,,,,,,,,,,8
,,,,,,,,,,,8
,,,,,,,,,,,10
,,,,,,,,,,,10
,,,,,,,,,,,10
,,,,,,,,,,,10
,,,,,,,,,,,10
,,,,,,,,,,,10
,,,,,,,,,,,10
,,,,,,,,,,,10
,,,,,,,,,,,10
,,,,,,,,,,,10
,,,,,,,,,,,10
,,,,,,,,,,,52
,,,,,,,,,,,52
,,,,,,,,,,,52
,,,,,,,,,,,52
,,,,,,,,,,,52
,,,,,,,,,,,52
,,,,,,,,,,,52
,,,,,,,,,,,51
,,,,,,,,,,,51
,,,,,,,,,,,51
,,,,,,,,,,,51
,,,,,,,,,,,51
,,,,,,,,,,,51
,,,,,,,,,,,51
,,,,,,,,,,,51
,,,,,,,,,,,51
,,,,,,,,,,,51
,,,,,,,,,,,20
,,,,,,,,,,,20
,,,,,,,,,,,20
,,,,,,,,,,,20
,,,,,,,,,,,20
,,,,,,,,,,,21
,,,,,,,,,,,21
,,,,,,,,,,,21
,,,,,,,,,,,21
,,,,,,,,,,,21
,,,,,,,,,,,25
,,,,,,,,,,,25
,,,,,,,,,,,25
,,,,,,,,,,,25
,,,,,,,,,,,25
,,,,,,,,,,,25
,,,,,,,,,,,25
,,,,,,,,,,,25
,,,,,,,,,,,25
,,,,,,,,,,,25
,,,,,,,,,,,70
,,,,,,,,,,,70
,,,,,,,,,,,70
,,,,,,,,,,,70
,,,,,,,,,,,70
,,,,,,,,,,,70
,,,,,,,,,,,39
,,,,,,,,,,,39
,,,,,,,,,,,39
,,,,,,,,,,,39
,,,,,,,,,,,39
,,,,,,,,,,,39
,,,,,,,,,,,39
,,,,,,,,,,,39
,,,,,,,,,,,39
,,,,,,,,,,,39
,,,,,,,,,,,39
,,,,,,,,,,,39
,,,,,,,,,,,39
,,,,,,,,,,,90
,,,,,,,,,,,90
,,,,,,,,,,,90
,,,,,,,,,,,90
,,,,,,,,,,,971
,,,,,,,,,,,971
,,,,,,,,,,,971
,,,,,,,,,,,971
,,,,,,,,,,,971
,,,,,,,,,,,973
,,,,,,,,,,,973
,,,,,,,,,,,973
,,,,,,,,,,,91
,,,,,,,,,,,91
,,,,,,,,,,,91
,,,,,,,,,,,91
,,,,,,,,,,,91
,,,,,,,,,,,92
,,,,,,,,,,,92
,,,,,,,,,,,92
,,,,,,,,,,,92
,,,,,,,,,,,92
,,,,,,,,,,,92
,,,,,,,,,,,92
,,,,,,,,,,,92
,,,,,,,,,,,92
,,,,,,,,,,,92
,,,,,,,,,,,92
,,,,,,,,,,,92
,,,,,,,,,,,92
,,,,,,,,,,,92
,,,,,,,,,,,92
,,,,,,,,,,,92
,,,,,,,,,,,92
,,,,,,,,,,,92
,,,,,,,,,,,92
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,75
,,,,,,,,,,,77
,,,,,,,,,,,77
,,,,,,,,,,,77
,,,,,,,,,,,77
,,,,,,,,,,,77
,,,,,,,,,,,77
,,,,,,,,,,,77
,,,,,,,,,,,77
,,,,,,,,,,,77
,,,,,,,,,,,77
,,,,,,,,,,,77
,,,,,,,,,,,77
,,,,,,,,,,,77
,,,,,,,,,,,77
,,,,,,,,,,,77
,,,,,,,,,,,77
,,,,,,,,,,,77
,,,,,,,,,,,77
,,,,,,,,,,,77
,,,,,,,,,,,77
,,,,,,,,,,,77
,,,,,,,,,,,93
,,,,,,,,,,,93
,,,,,,,,,,,93
,,,,,,,,,,,93
,,,,,,,,,,,93
,,,,,,,,,,,94
,,,,,,,,,,,94
,,,,,,,,,,,94
,,,,,,,,,,,94
,,,,,,,,,,,94
,,,,,,,,,,,94
,,,,,,,,,,,94
,,,,,,,,,,,94
,,,,,,,,,,,95
,,,,,,,,,,,95
,,,,,,,,,,,95
,,,,,,,,,,,95
,,,,,,,,,,,95
,,,,,,,,,,,95
,,,,,,,,,,,95
,,,,,,,,,,,95
,,,,,,,,,,,78
,,,,,,,,,,,78
,,,,,,,,,,,78
,,,,,,,,,,,78
,,,,,,,,,,,78
,,,,,,,,,,,78
,,,,,,,,,,,78
,,,,,,,,,,,78
,,,,,,,,,,,78
,,,,,,,,,,,78
,,,,,,,,,,,78
,,,,,,,,,,,78
,,,,,,,,,,,78
,,,,,,,,,,,78
,,,,,,,,,,,78
,,,,,,,,,,,78
,,,,,,,,,,,78
,,,,,,,,,,,78
,,,,,,,,,,,11
,,,,,,,,,,,11
,,,,,,,,,,,11
,,,,,,,,,,,11
,,,,,,,,,,,11
,,,,,,,,,,,11
,,,,,,,,,,,11
,,,,,,,,,,,11
,,,,,,,,,,,11
,,,,,,,,,,,30
,,,,,,,,,,,30
,,,,,,,,,,,30
,,,,,,,,,,,30
,,,,,,,,,,,30
,,,,,,,,,,,30
,,,,,,,,,,,30
,,,,,,,,,,,30
,,,,,,,,,,,30
,,,,,,,,,,,30
,,,,,,,,,,,30
,,,,,,,,,,,30
,,,,,,,,,,,30
,,,,,,,,,,,30
,,,,,,,,,,,30
,,,,,,,,,,,30
,,,,,,,,,,,30
,,,,,,,,,,,30
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,34
,,,,,,,,,,,48
,,,,,,,,,,,48
,,,,,,,,,,,66
,,,,,,,,,,,66
,,,,,,,,,,,66
,,,,,,,,,,,66
,,,,,,,,,,,66
,,,,,,,,,,,66
,,,,,,,,,,,66
,,,,,,,,,,,66
,,,,,,,,,,,66
,,,,,,,,,,,66
,,,,,,,,,,,19
,,,,,,,,,,,19
,,,,,,,,,,,19
